[2026-07-19 20:47:13,964] 16 root-INFO-initiate the data ingestion
[2026-07-19 20:47:30,267] 55 root-INFO-performed train test split
[2026-07-19 20:47:30,268] 56 root-INFO-exited split_daata_train_test method of Data_ingestion
[2026-07-19 20:47:30,270] 59 root-INFO-exporting traintest file path
[2026-07-19 20:47:30,711] 29 root-INFO-required no of columns :2
[2026-07-19 20:47:30,711] 30 root-INFO-dataframse has columns: 31
[2026-07-19 20:47:30,711] 29 root-INFO-required no of columns :2
[2026-07-19 20:47:30,711] 30 root-INFO-dataframse has columns: 31
[2026-07-19 20:47:31,063] 23 root-INFO-data transformation config
[2026-07-19 20:47:31,064] 49 root-INFO-entered initiate_data_transformation
[2026-07-19 20:47:31,260] 37 root-INFO-enered get_data_transfromated clas
[2026-07-19 20:47:31,261] 40 root-INFO-initailize KNN computer{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2026-07-19 20:47:31,351] 39 root-INFO-entered the save_object method
[2026-07-19 20:47:31,357] 43 root-INFO-exited the save_object method
[2026-07-19 20:47:31,360] 28 root-INFO-data validation complete
[2026-07-19 20:47:31,360] 30 root-INFO-model traininig started
